MinTemp,MaxTemp,Rainfall,WindDir,WindSpeed,Humidity,Pressure,Cloud,Temp,RainToday,RainTomorrow
13.4,22.9,0.6,W,44,71,1007.7,8,16.9,0,0
7.4,25.1,0,WNW,44,44,1010.6,0,17.2,0,0
12.9,25.7,0,WSW,46,38,1007.6,0,21,0,0
9.2,28,0,NE,24,45,1017.6,0,18.1,0,0
17.5,32.3,1,W,41,82,1010.8,7,17.8,0,0
14.6,29.7,0.2,WNW,56,55,1009.2,0,20.6,0,0
14.3,25,0,W,50,49,1009.6,1,18.1,0,0
7.7,26.7,0,W,35,48,1013.4,0,16.3,0,0
9.7,31.9,0,NNW,80,42,1008.9,0,18.3,0,1
13.1,30.1,1.4,W,28,58,1007,0,20.1,1,0
13.4,30.4,0,N,30,48,1011.8,0,20.4,0,1
15.9,21.7,2.2,NNE,31,89,1010.5,8,15.9,1,1
15.9,18.6,15.6,W,61,76,994.3,8,17.4,1,1
12.6,21,3.6,SW,44,65,1001.2,0,15.8,1,0
9.8,27.7,0,WNW,50,50,1013.4,0,17.3,0,0
14.1,20.9,0,ENE,22,69,1012.2,8,17.2,0,1
13.5,22.9,16.8,W,63,80,1005.8,8,18,1,1
11.2,22.5,10.6,SSE,43,47,1009.4,0,15.5,1,0
9.8,25.6,0,SSE,26,45,1019.2,0,15.8,0,0
11.5,29.3,0,S,24,56,1019.3,0,19.1,0,0
17.1,33,0,NE,43,38,1013.6,0,24.5,0,0
20.5,31.8,0,WNW,41,54,1007.8,0,23.8,0,0
15.3,30.9,0,N,33,55,1011,5,20.9,0,0
12.6,32.4,0,W,43,49,1012.9,0,21.5,0,0
16.2,33.9,0,WSW,35,45,1010.9,0,23.2,0,0
16.9,33,0,WSW,57,41,1006.8,0,26.6,0,0
20.1,32.7,0,WNW,48,56,1005.2,0,24.6,0,0
19.7,27.2,0,WNW,46,49,1004.8,0,21.6,0,1
12.5,24.2,1.2,WNW,50,78,1005.6,8,12.5,1,0
12,24.4,0.8,W,39,48,1006.1,1,16.9,0,0
11.3,26.5,0,WNW,56,46,1004.5,0,19.7,0,0
9.6,23.9,0,W,41,44,1014.4,0,14.9,0,0
10.5,28.8,0,SSE,26,43,1018.7,0,17.1,0,0
12.3,34.6,0,WNW,37,41,1015.1,0,20.7,0,0
12.9,35.8,0,WNW,41,41,1012.6,0,22.4,0,0
13.7,37.9,0,W,52,33,1010.9,0,23.1,0,0
16.1,38.9,0,W,57,34,1007,0,25.2,0,0
14,28.3,0,W,48,43,1011.9,0,17.9,0,0
12.5,28.4,0,NE,37,38,1017.8,0,17.2,0,0
17,30.8,0,NE,37,36,1013.4,0,20.2,0,0
16.9,32,0,S,31,52,1009.9,0,22.8,0,0
17.3,34.7,0,SW,35,48,1014.1,0,24.2,0,0
17.2,37.7,0,NNW,35,51,1015.7,0,24.3,0,0
17.4,43,0,NW,39,40,1011.6,0,25.6,0,0
19.8,32.7,0,WNW,44,34,1008.4,0,27.6,0,0
14.9,26.7,0,SW,56,46,1014.1,0,18,0,0
10.5,28.4,0,SE,33,35,1019.7,0,16,0,0
11.3,32.2,0,WNW,28,34,1019.7,0,20.9,0,0
13.9,36.6,0,WNW,39,39,1015.8,0,22,0,0
18.6,39.9,0,NNW,61,36,1010.1,0,26.8,0,0
19.3,38.1,0.8,NNW,61,48,1009.6,0,27.3,0,0
24.4,34,0.6,NW,98,60,1005.3,4,26.1,0,1
18.8,35.2,6.4,WNW,52,43,1007.9,0,22.8,1,0
20.8,30.6,0,W,54,41,1005.4,0,23.3,0,0
14,34.3,0,WSW,24,44,1016.5,0,21.2,0,0
15.7,38.4,0,S,33,48,1017.7,0,23.4,0,0
18.5,38.2,0,NNE,31,48,1017.8,0,25.8,0,0
20.4,40.7,0,N,37,45,1014.9,0,28.2,0,0
21.8,41.5,0,SW,24,38,1015.7,0,29,0,0
22.3,42.9,0,NNE,28,37,1014.6,0,29.2,0,0
22,42.7,0,ESE,48,33,1014.2,0,29.9,0,0
28,43.1,0,SW,83,27,1012.5,0,32.4,0,0
24.4,38.3,0.2,SW,56,32,1011.7,0,28.8,0,0
21.5,37.7,0,0,0,51,1009.2,0,27.2,0,0
21.7,36.9,0,0,0,53,1008.8,0,25.5,0,0
21.5,41.2,0,WSW,35,48,1005.9,0,26.5,0,0
23.5,42.2,0,W,37,39,1008,0,28.7,0,0
22.3,44.8,0,NNW,59,36,1008.2,0,29.6,0,0
28.3,40.2,0,NW,52,20,1007,0,34.5,0,0
18.4,31.2,0.4,SE,37,66,1009.3,7,18.7,0,0
14.9,27.3,0,SSE,41,50,1011.6,0,17.4,0,0
13.5,26.7,0,SSE,46,45,1012.8,0,16.7,0,0
16.1,21.6,0,SE,46,58,1017,2,17,0,1
14.6,29,3,SSE,41,41,1023.3,0,18,1,0
12.4,29.2,0,NE,39,37,1022.5,0,18.3,0,0
13.3,31.3,0,NNE,41,50,1016.2,0,19.2,0,0
17.2,31.1,0,E,35,43,1017.7,0,21.4,0,0
12.5,28.8,0,N,31,46,1017.2,0,18,0,0
18,32,0,NW,31,44,1012.4,0,22.1,0,0
16.2,34,0,WSW,48,53,1007.8,0,21,0,0
18.7,29.1,0,SSW,41,45,1010.1,0,21.5,0,0
13.7,31.7,0,SSE,28,63,1012.5,0,19.3,0,0
15.5,33.2,0,NW,31,49,1015.6,0,20.9,0,0
14.3,34,0,NW,70,48,1013,0,20.7,0,0
12.9,29.6,0,WNW,46,54,1014,6,18.7,0,0
8.9,31.9,0,WNW,43,49,1016.6,7,15,0,0
15,32.7,0,ESE,26,43,1017.8,0,20.7,0,0
15.4,32.6,0,W,24,53,1016.2,0,20,0,0
16,34.5,0,WSW,44,44,1007.5,0,22.2,0,0
12.8,30.3,0,W,30,53,1010.5,0,17.3,0,0
13.2,31.9,0,NNW,35,53,1014.1,0,18,0,0
18,31.1,0,WNW,52,58,1014.7,5,23,0,0
13.8,22.1,0.2,WNW,57,57,1014.5,0,15.6,0,0
11.5,22,0,SW,50,60,1013.7,0,13.9,0,0
7.6,24,0,WSW,30,52,1014.5,0,12.6,0,0
8.3,27.9,0,W,37,58,1015.2,0,13.3,0,0
11,30.2,0,SSE,24,54,1017,0,17.6,0,0
13.8,31.8,0,NNE,24,49,1019.7,0,18.6,0,0
15.5,32,0,NE,50,51,1019.5,0,20.1,0,1
18.4,30.5,1.2,NE,44,57,1021.3,0,21.5,1,0